🔍 PointRend 极细粒度测试报告 (透明度: 0.45, 阈值: 0.15)
====================================================================================================

▶ 图片: IMG_20251223142837.jpg (人工标注: 194块 | 预测: 186块)
--------------------------------------------------------------------------------
  [匹配成功] 石头_102 | IoU: 0.96 | 真实面积:  11545 px | 预测面积:  11445 px | 面积误差:   -100 px (  -0.9%)
  [匹配成功] 石头_103 | IoU: 0.99 | 真实面积:  12788 px | 预测面积:  12713 px | 面积误差:    -76 px (  -0.6%)
  [匹配成功] 石头_104 | IoU: 0.94 | 真实面积:  10935 px | 预测面积:  10761 px | 面积误差:   -174 px (  -1.6%)
  [匹配成功] 石头_105 | IoU: 0.89 | 真实面积:   8719 px | 预测面积:   9382 px | 面积误差:   +663 px (  +7.6%)
  [匹配成功] 石头_106 | IoU: 0.86 | 真实面积:   6204 px | 预测面积:   6545 px | 面积误差:   +340 px (  +5.5%)
  [匹配成功] 石头_107 | IoU: 0.97 | 真实面积:   8504 px | 预测面积:   8047 px | 面积误差:   -456 px (  -5.4%)
  [漏检/偏离] 石头_108 | 最大IoU: 0.09 | 真实面积:   6275 px | 预测未匹配
  [匹配成功] 石头_109 | IoU: 0.95 | 真实面积:  10216 px | 预测面积:  10070 px | 面积误差:   -146 px (  -1.4%)
  [匹配成功] 石头_110 | IoU: 0.96 | 真实面积:  14439 px | 预测面积:  14608 px | 面积误差:   +169 px (  +1.2%)
  [匹配成功] 石头_111 | IoU: 0.86 | 真实面积:   7059 px | 预测面积:   6289 px | 面积误差:   -770 px ( -10.9%)
  [匹配成功] 石头_112 | IoU: 0.92 | 真实面积:   7959 px | 预测面积:   8236 px | 面积误差:   +277 px (  +3.5%)
  [匹配成功] 石头_113 | IoU: 0.96 | 真实面积:   7915 px | 预测面积:   8317 px | 面积误差:   +402 px (  +5.1%)
  [匹配成功] 石头_114 | IoU: 0.96 | 真实面积:   9368 px | 预测面积:   9201 px | 面积误差:   -166 px (  -1.8%)
  [匹配成功] 石头_115 | IoU: 0.96 | 真实面积:  14862 px | 预测面积:  14649 px | 面积误差:   -213 px (  -1.4%)
  [匹配成功] 石头_116 | IoU: 0.96 | 真实面积:  14993 px | 预测面积:  15304 px | 面积误差:   +311 px (  +2.1%)
  [漏检/偏离] 石头_117 | 最大IoU: 0.14 | 真实面积:   5659 px | 预测未匹配
  [匹配成功] 石头_118 | IoU: 0.91 | 真实面积:   7377 px | 预测面积:   7085 px | 面积误差:   -292 px (  -4.0%)
  [匹配成功] 石头_119 | IoU: 0.92 | 真实面积:   8950 px | 预测面积:   8639 px | 面积误差:   -311 px (  -3.5%)
  [匹配成功] 石头_120 | IoU: 0.87 | 真实面积:   6741 px | 预测面积:   7102 px | 面积误差:   +361 px (  +5.4%)
  [匹配成功] 石头_121 | IoU: 0.96 | 真实面积:   5588 px | 预测面积:   5498 px | 面积误差:    -90 px (  -1.6%)
  [匹配成功] 石头_122 | IoU: 0.90 | 真实面积:   4432 px | 预测面积:   4367 px | 面积误差:    -65 px (  -1.5%)
  [匹配成功] 石头_123 | IoU: 0.87 | 真实面积:   5056 px | 预测面积:   5086 px | 面积误差:    +30 px (  +0.6%)
  [匹配成功] 石头_124 | IoU: 0.89 | 真实面积:   9346 px | 预测面积:   9220 px | 面积误差:   -126 px (  -1.3%)
  [匹配成功] 石头_125 | IoU: 0.92 | 真实面积:  13716 px | 预测面积:  13297 px | 面积误差:   -419 px (  -3.1%)
  [匹配成功] 石头_126 | IoU: 0.96 | 真实面积:  13210 px | 预测面积:  12959 px | 面积误差:   -250 px (  -1.9%)
  [匹配成功] 石头_127 | IoU: 0.98 | 真实面积:  14278 px | 预测面积:  14255 px | 面积误差:    -24 px (  -0.2%)
  [匹配成功] 石头_128 | IoU: 0.96 | 真实面积:  12341 px | 预测面积:  12171 px | 面积误差:   -170 px (  -1.4%)
  [漏检/偏离] 石头_129 | 最大IoU: 0.12 | 真实面积:   8510 px | 预测未匹配
  [匹配成功] 石头_130 | IoU: 0.87 | 真实面积:  10565 px | 预测面积:  10480 px | 面积误差:    -85 px (  -0.8%)
  [匹配成功] 石头_131 | IoU: 0.89 | 真实面积:   4732 px | 预测面积:   4818 px | 面积误差:    +86 px (  +1.8%)
  [匹配成功] 石头_132 | IoU: 0.89 | 真实面积:  11792 px | 预测面积:  12101 px | 面积误差:   +309 px (  +2.6%)
  [匹配成功] 石头_133 | IoU: 0.97 | 真实面积:   7844 px | 预测面积:   8086 px | 面积误差:   +242 px (  +3.1%)
  [匹配成功] 石头_134 | IoU: 0.90 | 真实面积:   8165 px | 预测面积:   7793 px | 面积误差:   -372 px (  -4.6%)
  [匹配成功] 石头_135 | IoU: 0.97 | 真实面积:  11832 px | 预测面积:  11563 px | 面积误差:   -268 px (  -2.3%)
  [匹配成功] 石头_136 | IoU: 0.83 | 真实面积:   4730 px | 预测面积:   4978 px | 面积误差:   +248 px (  +5.3%)
  [匹配成功] 石头_137 | IoU: 0.96 | 真实面积:   9084 px | 预测面积:   9213 px | 面积误差:   +128 px (  +1.4%)
  [匹配成功] 石头_138 | IoU: 0.96 | 真实面积:  11410 px | 预测面积:  11302 px | 面积误差:   -108 px (  -0.9%)
  [匹配成功] 石头_139 | IoU: 0.94 | 真实面积:   8261 px | 预测面积:   8457 px | 面积误差:   +196 px (  +2.4%)
  [漏检/偏离] 石头_140 | 最大IoU: 0.17 | 真实面积:   4743 px | 预测未匹配
  [匹配成功] 石头_141 | IoU: 0.96 | 真实面积:   8344 px | 预测面积:   8459 px | 面积误差:   +114 px (  +1.4%)
  [匹配成功] 石头_142 | IoU: 0.96 | 真实面积:   9857 px | 预测面积:   9359 px | 面积误差:   -498 px (  -5.1%)
  [匹配成功] 石头_143 | IoU: 0.95 | 真实面积:   6890 px | 预测面积:   6800 px | 面积误差:    -90 px (  -1.3%)
  [匹配成功] 石头_144 | IoU: 0.89 | 真实面积:   7335 px | 预测面积:   6393 px | 面积误差:   -942 px ( -12.8%)
  [匹配成功] 石头_145 | IoU: 0.94 | 真实面积:  14004 px | 预测面积:  13719 px | 面积误差:   -284 px (  -2.0%)
  [匹配成功] 石头_146 | IoU: 0.80 | 真实面积:   7722 px | 预测面积:   8787 px | 面积误差:  +1065 px ( +13.8%)
  [匹配成功] 石头_147 | IoU: 0.94 | 真实面积:   9034 px | 预测面积:   8644 px | 面积误差:   -390 px (  -4.3%)
  [漏检/偏离] 石头_148 | 最大IoU: 0.19 | 真实面积:   6563 px | 预测未匹配
  [匹配成功] 石头_149 | IoU: 0.96 | 真实面积:  11149 px | 预测面积:  11508 px | 面积误差:   +359 px (  +3.2%)
  [匹配成功] 石头_150 | IoU: 0.92 | 真实面积:  11546 px | 预测面积:  11873 px | 面积误差:   +327 px (  +2.8%)
  [匹配成功] 石头_151 | IoU: 0.97 | 真实面积:  13608 px | 预测面积:  13770 px | 面积误差:   +162 px (  +1.2%)
  [匹配成功] 石头_152 | IoU: 0.94 | 真实面积:   8562 px | 预测面积:   8623 px | 面积误差:    +62 px (  +0.7%)
  [匹配成功] 石头_153 | IoU: 0.94 | 真实面积:  10606 px | 预测面积:  10615 px | 面积误差:    +10 px (  +0.1%)
  [匹配成功] 石头_154 | IoU: 0.89 | 真实面积:   5584 px | 预测面积:   5564 px | 面积误差:    -20 px (  -0.4%)
  [匹配成功] 石头_155 | IoU: 0.90 | 真实面积:   5696 px | 预测面积:   5650 px | 面积误差:    -46 px (  -0.8%)
  [匹配成功] 石头_156 | IoU: 0.93 | 真实面积:   5800 px | 预测面积:   5779 px | 面积误差:    -21 px (  -0.4%)
  [匹配成功] 石头_157 | IoU: 0.89 | 真实面积:   7684 px | 预测面积:   7184 px | 面积误差:   -500 px (  -6.5%)
  [漏检/偏离] 石头_158 | 最大IoU: 0.00 | 真实面积:   5676 px | 预测未匹配
  [匹配成功] 石头_159 | IoU: 0.99 | 真实面积:  15166 px | 预测面积:  15018 px | 面积误差:   -148 px (  -1.0%)
  [匹配成功] 石头_160 | IoU: 0.94 | 真实面积:  11324 px | 预测面积:  11183 px | 面积误差:   -140 px (  -1.2%)
  [匹配成功] 石头_161 | IoU: 0.95 | 真实面积:  10595 px | 预测面积:  10940 px | 面积误差:   +345 px (  +3.3%)
  [匹配成功] 石头_162 | IoU: 0.94 | 真实面积:   8252 px | 预测面积:   8299 px | 面积误差:    +46 px (  +0.6%)
  [匹配成功] 石头_163 | IoU: 0.93 | 真实面积:  10112 px | 预测面积:   9814 px | 面积误差:   -298 px (  -2.9%)
  [匹配成功] 石头_164 | IoU: 0.91 | 真实面积:   5310 px | 预测面积:   5273 px | 面积误差:    -37 px (  -0.7%)
  [匹配成功] 石头_165 | IoU: 0.94 | 真实面积:   9663 px | 预测面积:   9806 px | 面积误差:   +143 px (  +1.5%)
  [匹配成功] 石头_166 | IoU: 0.93 | 真实面积:   6974 px | 预测面积:   6799 px | 面积误差:   -175 px (  -2.5%)
  [匹配成功] 石头_167 | IoU: 0.87 | 真实面积:   6524 px | 预测面积:   6665 px | 面积误差:   +142 px (  +2.2%)
  [匹配成功] 石头_168 | IoU: 0.97 | 真实面积:   6550 px | 预测面积:   6545 px | 面积误差:     -4 px (  -0.1%)
  [匹配成功] 石头_169 | IoU: 0.96 | 真实面积:   8644 px | 预测面积:   8787 px | 面积误差:   +143 px (  +1.7%)
  [匹配成功] 石头_170 | IoU: 0.89 | 真实面积:   5820 px | 预测面积:   5483 px | 面积误差:   -338 px (  -5.8%)
  [匹配成功] 石头_171 | IoU: 0.92 | 真实面积:   5351 px | 预测面积:   5548 px | 面积误差:   +197 px (  +3.7%)
  [匹配成功] 石头_172 | IoU: 0.96 | 真实面积:  12235 px | 预测面积:  11872 px | 面积误差:   -363 px (  -3.0%)
  [匹配成功] 石头_173 | IoU: 0.94 | 真实面积:   5998 px | 预测面积:   5763 px | 面积误差:   -236 px (  -3.9%)
  [匹配成功] 石头_174 | IoU: 0.96 | 真实面积:  13284 px | 预测面积:  13020 px | 面积误差:   -264 px (  -2.0%)
  [匹配成功] 石头_175 | IoU: 0.94 | 真实面积:  11046 px | 预测面积:  10896 px | 面积误差:   -150 px (  -1.4%)
  [匹配成功] 石头_176 | IoU: 0.96 | 真实面积:  15556 px | 预测面积:  15775 px | 面积误差:   +219 px (  +1.4%)
  [匹配成功] 石头_177 | IoU: 0.96 | 真实面积:   6527 px | 预测面积:   6382 px | 面积误差:   -145 px (  -2.2%)
  [匹配成功] 石头_178 | IoU: 0.92 | 真实面积:   7464 px | 预测面积:   7423 px | 面积误差:    -41 px (  -0.5%)
  [匹配成功] 石头_179 | IoU: 0.92 | 真实面积:  10076 px | 预测面积:  10377 px | 面积误差:   +301 px (  +3.0%)
  [匹配成功] 石头_180 | IoU: 0.95 | 真实面积:   8162 px | 预测面积:   8256 px | 面积误差:    +94 px (  +1.2%)
  [匹配成功] 石头_181 | IoU: 0.61 | 真实面积:   8888 px | 预测面积:  12840 px | 面积误差:  +3952 px ( +44.5%)
  [匹配成功] 石头_182 | IoU: 0.92 | 真实面积:  11528 px | 预测面积:  11595 px | 面积误差:    +68 px (  +0.6%)
  [匹配成功] 石头_183 | IoU: 0.81 | 真实面积:   4998 px | 预测面积:   4391 px | 面积误差:   -606 px ( -12.1%)
  [匹配成功] 石头_184 | IoU: 0.95 | 真实面积:   4535 px | 预测面积:   4670 px | 面积误差:   +135 px (  +3.0%)
  [匹配成功] 石头_185 | IoU: 0.76 | 真实面积:   4971 px | 预测面积:   4575 px | 面积误差:   -396 px (  -8.0%)
  [匹配成功] 石头_186 | IoU: 0.92 | 真实面积:   5930 px | 预测面积:   6107 px | 面积误差:   +177 px (  +3.0%)
  [匹配成功] 石头_187 | IoU: 0.90 | 真实面积:   7950 px | 预测面积:   7885 px | 面积误差:    -65 px (  -0.8%)
  [匹配成功] 石头_188 | IoU: 0.88 | 真实面积:   5112 px | 预测面积:   5104 px | 面积误差:     -8 px (  -0.2%)
  [匹配成功] 石头_189 | IoU: 0.87 | 真实面积:   6792 px | 预测面积:   7143 px | 面积误差:   +351 px (  +5.2%)
  [匹配成功] 石头_190 | IoU: 0.91 | 真实面积:   5648 px | 预测面积:   5587 px | 面积误差:    -62 px (  -1.1%)
  [匹配成功] 石头_191 | IoU: 0.96 | 真实面积:  10230 px | 预测面积:  10209 px | 面积误差:    -22 px (  -0.2%)
  [漏检/偏离] 石头_192 | 最大IoU: 0.26 | 真实面积:   3725 px | 预测未匹配
  [漏检/偏离] 石头_193 | 最大IoU: 0.13 | 真实面积:   5238 px | 预测未匹配

▶ 图片: IMG_20251223142747.jpg (人工标注: 193块 | 预测: 185块)
--------------------------------------------------------------------------------
  [匹配成功] 石头_000 | IoU: 0.95 | 真实面积:  15514 px | 预测面积:  15396 px | 面积误差:   -118 px (  -0.8%)
  [匹配成功] 石头_001 | IoU: 0.92 | 真实面积:   9562 px | 预测面积:   9374 px | 面积误差:   -188 px (  -2.0%)
  [匹配成功] 石头_002 | IoU: 0.90 | 真实面积:   6210 px | 预测面积:   6175 px | 面积误差:    -34 px (  -0.6%)
  [匹配成功] 石头_003 | IoU: 0.90 | 真实面积:   8404 px | 预测面积:   7553 px | 面积误差:   -852 px ( -10.1%)
  [匹配成功] 石头_004 | IoU: 0.86 | 真实面积:   9698 px | 预测面积:  11789 px | 面积误差:  +2092 px ( +21.6%)
  [匹配成功] 石头_005 | IoU: 0.92 | 真实面积:  12856 px | 预测面积:  13305 px | 面积误差:   +450 px (  +3.5%)
